Parcel_ID,O_zone,D_zone,CEP,Network,Type
70800,2430,2668,PostNL,conventional,tour-based
70800,2668,2296,PostNL,conventional,tour-based
70822,2275,2668,PostNL,conventional,tour-based
70822,2668,2296,PostNL,conventional,tour-based
70834,2454,2668,PostNL,conventional,tour-based
70834,2668,2296,PostNL,conventional,tour-based
70839,2348,2668,PostNL,conventional,tour-based
70839,2668,2296,PostNL,conventional,tour-based
70891,2432,2668,PostNL,conventional,tour-based
70891,2668,2296,PostNL,conventional,tour-based
70909,2304,2668,PostNL,conventional,tour-based
70909,2668,2296,PostNL,conventional,tour-based
70925,2278,3362,UPS,conventional,tour-based
70925,3362,2296,UPS,conventional,tour-based
70935,2420,3362,UPS,conventional,tour-based
70935,3362,2296,UPS,conventional,tour-based
70947,2432,2662,DHL,conventional,tour-based
70947,2662,2297,DHL,conventional,tour-based
70949,2280,2662,DHL,conventional,tour-based
70949,2662,2297,DHL,conventional,tour-based
71005,2429,2668,PostNL,conventional,tour-based
71005,2668,2297,PostNL,conventional,tour-based
71015,2348,2668,PostNL,conventional,tour-based
71015,2668,2297,PostNL,conventional,tour-based
71059,2432,3362,UPS,conventional,tour-based
71059,3362,2297,UPS,conventional,tour-based
71076,2363,4604,DPD,conventional,tour-based
71076,4604,2298,DPD,conventional,tour-based
71092,2413,2668,PostNL,conventional,tour-based
71092,2668,2298,PostNL,conventional,tour-based
71145,2364,4604,DPD,conventional,tour-based
71145,4604,2300,DPD,conventional,tour-based
71158,2316,2668,PostNL,conventional,tour-based
71158,2668,2300,PostNL,conventional,tour-based
71188,2364,2668,PostNL,conventional,tour-based
71188,2668,2301,PostNL,conventional,tour-based
71198,2363,3362,UPS,conventional,tour-based
71198,3362,2301,UPS,conventional,tour-based
71205,2341,2668,PostNL,conventional,tour-based
71205,2668,2302,PostNL,conventional,tour-based
71252,2459,4604,DPD,conventional,tour-based
71252,4604,2304,DPD,conventional,tour-based
71253,2441,4604,DPD,conventional,tour-based
71253,4604,2304,DPD,conventional,tour-based
71278,2266,2668,PostNL,conventional,tour-based
71278,2668,2304,PostNL,conventional,tour-based
71281,2316,2668,PostNL,conventional,tour-based
71281,2668,2304,PostNL,conventional,tour-based
71302,2262,2662,DHL,conventional,tour-based
71302,2662,1044,DHL,conventional,consolidated
71302,1044,2305,DHL,conventional,tour-based
71304,2429,2662,DHL,conventional,tour-based
71304,2662,1044,DHL,conventional,consolidated
71304,1044,2305,DHL,conventional,tour-based
71311,2390,2662,DHL,conventional,tour-based
71311,2662,1044,DHL,conventional,consolidated
71311,1044,2305,DHL,conventional,tour-based
71320,2324,4604,DPD,conventional,tour-based
71320,4604,2305,DPD,conventional,tour-based
71324,2426,4137,FedEx,conventional,tour-based
71324,4137,2305,FedEx,conventional,tour-based
71340,2391,2668,PostNL,conventional,tour-based
71340,2668,2305,PostNL,conventional,tour-based
71353,2449,2668,PostNL,conventional,tour-based
71353,2668,2305,PostNL,conventional,tour-based
71375,2315,4137,FedEx,conventional,tour-based
71375,4137,2306,FedEx,conventional,tour-based
71382,2295,2668,PostNL,conventional,tour-based
71382,2668,2306,PostNL,conventional,tour-based
71386,2438,2668,PostNL,conventional,tour-based
71386,2668,2306,PostNL,conventional,tour-based
71409,2468,2668,PostNL,conventional,tour-based
71409,2668,2307,PostNL,conventional,tour-based
71437,2427,5514,GLS,conventional,tour-based
71437,5514,2311,GLS,conventional,tour-based
71446,2342,2668,PostNL,conventional,tour-based
71446,2668,2311,PostNL,conventional,tour-based
71476,2432,2662,DHL,conventional,tour-based
71476,2662,1044,DHL,conventional,consolidated
71476,1044,2312,DHL,conventional,tour-based
71501,2391,2668,PostNL,conventional,tour-based
71501,2668,2312,PostNL,conventional,tour-based
71502,2451,2668,PostNL,conventional,tour-based
71502,2668,2312,PostNL,conventional,tour-based
71566,2385,2662,DHL,conventional,tour-based
71566,2662,1044,DHL,conventional,consolidated
71566,1044,2315,DHL,conventional,tour-based
71568,2260,2662,DHL,conventional,tour-based
71568,2662,1044,DHL,conventional,consolidated
71568,1044,2315,DHL,conventional,tour-based
71579,2341,1044,DHL,conventional,tour-based
71579,1044,2315,DHL,conventional,tour-based
71585,2399,2662,DHL,conventional,tour-based
71585,2662,1044,DHL,conventional,consolidated
71585,1044,2315,DHL,conventional,tour-based
71600,2316,4137,FedEx,conventional,tour-based
71600,4137,2315,FedEx,conventional,tour-based
71629,2296,2668,PostNL,conventional,tour-based
71629,2668,2315,PostNL,conventional,tour-based
71663,2340,3362,UPS,conventional,tour-based
71663,3362,2315,UPS,conventional,tour-based
71665,2292,3362,UPS,conventional,tour-based
71665,3362,2315,UPS,conventional,tour-based
71670,2375,559,Cycloon,conventional,tour-based
71670,559,2316,Cycloon,conventional,tour-based
71718,2389,2662,DHL,conventional,tour-based
71718,2662,1044,DHL,conventional,consolidated
71718,1044,2316,DHL,conventional,tour-based
71723,2459,2662,DHL,conventional,tour-based
71723,2662,1044,DHL,conventional,consolidated
71723,1044,2316,DHL,conventional,tour-based
71745,2330,4604,DPD,conventional,tour-based
71745,4604,2316,DPD,conventional,tour-based
71746,2429,4604,DPD,conventional,tour-based
71746,4604,2316,DPD,conventional,tour-based
71767,2345,4604,DPD,conventional,tour-based
71767,4604,2316,DPD,conventional,tour-based
71768,2369,4604,DPD,conventional,tour-based
71768,4604,2316,DPD,conventional,tour-based
71810,2304,2668,PostNL,conventional,tour-based
71810,2668,2316,PostNL,conventional,tour-based
71823,2375,2668,PostNL,conventional,tour-based
71823,2668,2316,PostNL,conventional,tour-based
71824,2306,2668,PostNL,conventional,tour-based
71824,2668,2316,PostNL,conventional,tour-based
71903,2444,2668,PostNL,conventional,tour-based
71903,2668,2316,PostNL,conventional,tour-based
71999,2445,4604,DPD,conventional,tour-based
71999,4604,2318,DPD,conventional,tour-based
72058,2335,5514,GLS,conventional,tour-based
72058,5514,2321,GLS,conventional,tour-based
72115,2370,2662,DHL,conventional,tour-based
72115,2662,1044,DHL,conventional,consolidated
72115,1044,2324,DHL,conventional,tour-based
72116,2434,2662,DHL,conventional,tour-based
72116,2662,1044,DHL,conventional,consolidated
72116,1044,2324,DHL,conventional,tour-based
72140,2466,2662,DHL,conventional,tour-based
72140,2662,1044,DHL,conventional,consolidated
72140,1044,2324,DHL,conventional,tour-based
72145,2323,4604,DPD,conventional,tour-based
72145,4604,2324,DPD,conventional,tour-based
72214,2457,2668,PostNL,conventional,tour-based
72214,2668,2324,PostNL,conventional,tour-based
72260,2394,3362,UPS,conventional,tour-based
72260,3362,2324,UPS,conventional,tour-based
72262,2324,1044,DHL,conventional,tour-based
72262,1044,2325,DHL,conventional,tour-based
72295,2290,4604,DPD,conventional,tour-based
72295,4604,2330,DPD,conventional,tour-based
72296,2466,4604,DPD,conventional,tour-based
72296,4604,2330,DPD,conventional,tour-based
72302,2295,4137,FedEx,conventional,tour-based
72302,4137,2330,FedEx,conventional,tour-based
72314,2371,2668,PostNL,conventional,tour-based
72314,2668,2330,PostNL,conventional,tour-based
72333,2323,2668,PostNL,conventional,tour-based
72333,2668,2330,PostNL,conventional,tour-based
72387,2432,2668,PostNL,conventional,tour-based
72387,2668,2331,PostNL,conventional,tour-based
72399,2406,2668,PostNL,conventional,tour-based
72399,2668,2331,PostNL,conventional,tour-based
72452,2312,2668,PostNL,conventional,tour-based
72452,2668,2332,PostNL,conventional,tour-based
72454,2465,2668,PostNL,conventional,tour-based
72454,2668,2332,PostNL,conventional,tour-based
72455,2343,2668,PostNL,conventional,tour-based
72455,2668,2332,PostNL,conventional,tour-based
72483,2481,3362,UPS,conventional,tour-based
72483,3362,2332,UPS,conventional,tour-based
72515,2321,4604,DPD,conventional,tour-based
72515,4604,2334,DPD,conventional,tour-based
72543,2342,2668,PostNL,conventional,tour-based
72543,2668,2334,PostNL,conventional,tour-based
72545,2296,2668,PostNL,conventional,tour-based
72545,2668,2334,PostNL,conventional,tour-based
72560,2340,1044,DHL,conventional,tour-based
72560,1044,2335,DHL,conventional,tour-based
72563,2461,2662,DHL,conventional,tour-based
72563,2662,1044,DHL,conventional,consolidated
72563,1044,2335,DHL,conventional,tour-based
72581,2457,4604,DPD,conventional,tour-based
72581,4604,2335,DPD,conventional,tour-based
72606,2330,2668,PostNL,conventional,tour-based
72606,2668,2335,PostNL,conventional,tour-based
72608,2366,2668,PostNL,conventional,tour-based
72608,2668,2335,PostNL,conventional,tour-based
72616,2430,2668,PostNL,conventional,tour-based
72616,2668,2335,PostNL,conventional,tour-based
72659,2384,3362,UPS,conventional,tour-based
72659,3362,2335,UPS,conventional,tour-based
72666,2341,1044,DHL,conventional,tour-based
72666,1044,2336,DHL,conventional,tour-based
72673,2367,2662,DHL,conventional,tour-based
72673,2662,1044,DHL,conventional,consolidated
72673,1044,2336,DHL,conventional,tour-based
72689,2439,4604,DPD,conventional,tour-based
72689,4604,2336,DPD,conventional,tour-based
72691,2407,4137,FedEx,conventional,tour-based
72691,4137,2336,FedEx,conventional,tour-based
72698,2282,2668,PostNL,conventional,tour-based
72698,2668,2336,PostNL,conventional,tour-based
72705,2317,2668,PostNL,conventional,tour-based
72705,2668,2336,PostNL,conventional,tour-based
72758,2386,2662,DHL,conventional,tour-based
72758,2662,1044,DHL,conventional,consolidated
72758,1044,2339,DHL,conventional,tour-based
72761,2430,2662,DHL,conventional,tour-based
72761,2662,1044,DHL,conventional,consolidated
72761,1044,2339,DHL,conventional,tour-based
72796,2281,2662,DHL,conventional,tour-based
72796,2662,1044,DHL,conventional,consolidated
72796,1044,2340,DHL,conventional,tour-based
72863,2387,2668,PostNL,conventional,tour-based
72863,2668,2340,PostNL,conventional,tour-based
72888,2313,3362,UPS,conventional,tour-based
72888,3362,2340,UPS,conventional,tour-based
72917,2316,1044,DHL,conventional,tour-based
72917,1044,2341,DHL,conventional,tour-based
72945,2278,2662,DHL,conventional,tour-based
72945,2662,1044,DHL,conventional,consolidated
72945,1044,2341,DHL,conventional,tour-based
72993,2415,2662,DHL,conventional,tour-based
72993,2662,1044,DHL,conventional,consolidated
72993,1044,2341,DHL,conventional,tour-based
72998,2452,4604,DPD,conventional,tour-based
72998,4604,2341,DPD,conventional,tour-based
73008,2467,4604,DPD,conventional,tour-based
73008,4604,2341,DPD,conventional,tour-based
73024,2388,4604,DPD,conventional,tour-based
73024,4604,2341,DPD,conventional,tour-based
73026,2429,4604,DPD,conventional,tour-based
73026,4604,2341,DPD,conventional,tour-based
73096,2445,2668,PostNL,conventional,tour-based
73096,2668,2341,PostNL,conventional,tour-based
73152,2445,2668,PostNL,conventional,tour-based
73152,2668,2341,PostNL,conventional,tour-based
73190,2389,2668,PostNL,conventional,tour-based
73190,2668,2341,PostNL,conventional,tour-based
73213,2296,2668,PostNL,conventional,tour-based
73213,2668,2341,PostNL,conventional,tour-based
73221,2336,2668,PostNL,conventional,tour-based
73221,2668,2341,PostNL,conventional,tour-based
73258,2409,2668,PostNL,conventional,tour-based
73258,2668,2341,PostNL,conventional,tour-based
73269,2348,2668,PostNL,conventional,tour-based
73269,2668,2341,PostNL,conventional,tour-based
73272,2323,2668,PostNL,conventional,tour-based
73272,2668,2341,PostNL,conventional,tour-based
73300,2359,3362,UPS,conventional,tour-based
73300,3362,2341,UPS,conventional,tour-based
73306,2350,3362,UPS,conventional,tour-based
73306,3362,2341,UPS,conventional,tour-based
73327,2415,3362,UPS,conventional,tour-based
73327,3362,2341,UPS,conventional,tour-based
73345,2338,1044,DHL,conventional,tour-based
73345,1044,2342,DHL,conventional,tour-based
73374,2477,2662,DHL,conventional,tour-based
73374,2662,1044,DHL,conventional,consolidated
73374,1044,2342,DHL,conventional,tour-based
73397,2265,4137,FedEx,conventional,tour-based
73397,4137,2342,FedEx,conventional,tour-based
73418,2300,2668,PostNL,conventional,tour-based
73418,2668,2342,PostNL,conventional,tour-based
73437,2315,2668,PostNL,conventional,tour-based
73437,2668,2342,PostNL,conventional,tour-based
73440,2461,2668,PostNL,conventional,tour-based
73440,2668,2342,PostNL,conventional,tour-based
73455,2457,2668,PostNL,conventional,tour-based
73455,2668,2342,PostNL,conventional,tour-based
73480,2460,2668,PostNL,conventional,tour-based
73480,2668,2342,PostNL,conventional,tour-based
73533,2296,2662,DHL,conventional,tour-based
73533,2662,1044,DHL,conventional,consolidated
73533,1044,2343,DHL,conventional,tour-based
73547,2427,4604,DPD,conventional,tour-based
73547,4604,2343,DPD,conventional,tour-based
73600,2375,2668,PostNL,conventional,tour-based
73600,2668,2343,PostNL,conventional,tour-based
73632,2275,2668,PostNL,conventional,tour-based
73632,2668,2343,PostNL,conventional,tour-based
73637,2468,3362,UPS,conventional,tour-based
73637,3362,2343,UPS,conventional,tour-based
73643,2392,3362,UPS,conventional,tour-based
73643,3362,2343,UPS,conventional,tour-based
73647,2369,3362,UPS,conventional,tour-based
73647,3362,2343,UPS,conventional,tour-based
73667,2294,2668,PostNL,conventional,tour-based
73667,2668,2344,PostNL,conventional,tour-based
73748,2477,2668,PostNL,conventional,tour-based
73748,2668,2345,PostNL,conventional,tour-based
73784,2375,3362,UPS,conventional,tour-based
73784,3362,2345,UPS,conventional,tour-based
73821,2408,2668,PostNL,conventional,tour-based
73821,2668,2346,PostNL,conventional,tour-based
73828,2415,2668,PostNL,conventional,tour-based
73828,2668,2346,PostNL,conventional,tour-based
73829,2385,2668,PostNL,conventional,tour-based
73829,2668,2346,PostNL,conventional,tour-based
73878,2316,2668,PostNL,conventional,tour-based
73878,2668,2347,PostNL,conventional,tour-based
73894,2335,2668,PostNL,conventional,tour-based
73894,2668,2347,PostNL,conventional,tour-based
73943,2459,2668,PostNL,conventional,tour-based
73943,2668,2348,PostNL,conventional,tour-based
73957,2439,2668,PostNL,conventional,tour-based
73957,2668,2348,PostNL,conventional,tour-based
73988,2336,2668,PostNL,conventional,tour-based
73988,2668,2348,PostNL,conventional,tour-based
73992,2262,2668,PostNL,conventional,tour-based
73992,2668,2348,PostNL,conventional,tour-based
74013,2402,4604,DPD,conventional,tour-based
74013,4604,2349,DPD,conventional,tour-based
74017,2316,2668,PostNL,conventional,tour-based
74017,2668,2349,PostNL,conventional,tour-based
74028,2434,2668,PostNL,conventional,tour-based
74028,2668,2349,PostNL,conventional,tour-based
74035,2421,2662,DHL,conventional,tour-based
74035,2662,1044,DHL,conventional,consolidated
74035,1044,2350,DHL,conventional,tour-based
74076,2295,2668,PostNL,conventional,tour-based
74076,2668,2350,PostNL,conventional,tour-based
74100,2341,2668,PostNL,conventional,tour-based
74100,2668,2350,PostNL,conventional,tour-based
74125,2469,2668,PostNL,conventional,tour-based
74125,2668,2350,PostNL,conventional,tour-based
74145,2347,1044,DHL,conventional,tour-based
74145,1044,2351,DHL,conventional,tour-based
74159,2393,5514,GLS,conventional,tour-based
74159,5514,2351,GLS,conventional,tour-based
74235,2305,2668,PostNL,conventional,tour-based
74235,2668,2352,PostNL,conventional,tour-based
74237,2460,2668,PostNL,conventional,tour-based
74237,2668,2352,PostNL,conventional,tour-based
74275,2296,2668,PostNL,conventional,tour-based
74275,2668,2352,PostNL,conventional,tour-based
74316,2366,5514,GLS,conventional,tour-based
74316,5514,2356,GLS,conventional,tour-based
74397,2290,559,Cycloon,conventional,tour-based
74397,559,2359,Cycloon,locker,tour-based
74415,2347,559,Cycloon,conventional,tour-based
74415,559,2359,Cycloon,locker,tour-based
74416,2337,559,Cycloon,conventional,tour-based
74416,559,2359,Cycloon,locker,tour-based
74440,2340,1044,DHL,conventional,tour-based
74440,1044,2662,DHL,conventional,consolidated
74440,2662,2360,DHL,conventional,tour-based
74500,2469,4604,DPD,conventional,tour-based
74500,4604,2362,DPD,conventional,tour-based
74517,2469,2668,PostNL,conventional,tour-based
74517,2668,2362,PostNL,conventional,tour-based
74557,2332,1044,DHL,conventional,tour-based
74557,1044,2662,DHL,conventional,consolidated
74557,2662,2363,DHL,conventional,tour-based
74569,2433,2662,DHL,conventional,tour-based
74569,2662,2363,DHL,conventional,tour-based
74577,2294,1044,DHL,conventional,tour-based
74577,1044,2662,DHL,conventional,consolidated
74577,2662,2363,DHL,conventional,tour-based
74609,2427,4604,DPD,conventional,tour-based
74609,4604,2363,DPD,conventional,tour-based
74624,2470,5514,GLS,conventional,tour-based
74624,5514,2363,GLS,conventional,tour-based
74658,2408,2668,PostNL,conventional,tour-based
74658,2668,2363,PostNL,conventional,tour-based
74678,2290,2668,PostNL,conventional,tour-based
74678,2668,2363,PostNL,conventional,tour-based
74685,2407,2668,PostNL,conventional,tour-based
74685,2668,2363,PostNL,conventional,tour-based
74687,2454,2668,PostNL,conventional,tour-based
74687,2668,2363,PostNL,conventional,tour-based
74698,2287,2668,PostNL,conventional,tour-based
74698,2668,2363,PostNL,conventional,tour-based
74737,2503,2668,PostNL,conventional,tour-based
74737,2668,2363,PostNL,conventional,tour-based
74747,2305,2668,PostNL,conventional,tour-based
74747,2668,2363,PostNL,conventional,tour-based
74759,2282,3362,UPS,conventional,tour-based
74759,3362,2363,UPS,conventional,tour-based
74880,2402,3362,UPS,conventional,tour-based
74880,3362,2364,UPS,conventional,tour-based
74887,2461,3362,UPS,conventional,tour-based
74887,3362,2364,UPS,conventional,tour-based
74914,2459,3362,UPS,conventional,tour-based
74914,3362,2365,UPS,conventional,tour-based
74967,2427,3362,UPS,conventional,tour-based
74967,3362,2366,UPS,conventional,tour-based
74983,2398,4604,DPD,conventional,tour-based
74983,4604,2367,DPD,conventional,tour-based
74993,2291,2668,PostNL,conventional,tour-based
74993,2668,2367,PostNL,conventional,tour-based
75041,2363,2662,DHL,conventional,tour-based
75041,2662,2369,DHL,conventional,tour-based
75049,2457,2662,DHL,conventional,tour-based
75049,2662,2369,DHL,conventional,tour-based
75091,2450,2668,PostNL,conventional,tour-based
75091,2668,2369,PostNL,conventional,tour-based
75098,2429,3362,UPS,conventional,tour-based
75098,3362,2369,UPS,conventional,tour-based
75138,2431,2668,PostNL,conventional,tour-based
75138,2668,2370,PostNL,conventional,tour-based
75229,2341,4137,FedEx,conventional,tour-based
75229,4137,2371,FedEx,conventional,tour-based
75235,2341,5514,GLS,conventional,tour-based
75235,5514,2371,GLS,conventional,tour-based
75274,2288,2668,PostNL,conventional,tour-based
75274,2668,2371,PostNL,conventional,tour-based
75301,2401,2668,PostNL,conventional,tour-based
75301,2668,2371,PostNL,conventional,tour-based
75305,2415,2668,PostNL,conventional,tour-based
75305,2668,2371,PostNL,conventional,tour-based
75331,2467,2662,DHL,conventional,tour-based
75331,2662,1044,DHL,conventional,consolidated
75331,1044,2373,DHL,conventional,tour-based
75338,2445,2668,PostNL,conventional,tour-based
75338,2668,2373,PostNL,conventional,tour-based
75368,2395,2662,DHL,conventional,tour-based
75368,2662,2375,DHL,conventional,tour-based
75389,2405,2662,DHL,conventional,tour-based
75389,2662,2375,DHL,conventional,tour-based
75417,2390,2662,DHL,conventional,tour-based
75417,2662,2375,DHL,conventional,tour-based
75430,2434,2662,DHL,conventional,tour-based
75430,2662,2375,DHL,conventional,tour-based
75433,2341,1044,DHL,conventional,tour-based
75433,1044,2662,DHL,conventional,consolidated
75433,2662,2375,DHL,conventional,tour-based
75491,2466,5514,GLS,conventional,tour-based
75491,5514,2375,GLS,conventional,tour-based
75494,2469,5514,GLS,conventional,tour-based
75494,5514,2375,GLS,conventional,tour-based
75496,2291,5514,GLS,conventional,tour-based
75496,5514,2375,GLS,conventional,tour-based
75589,2384,2668,PostNL,conventional,tour-based
75589,2668,2375,PostNL,conventional,tour-based
75614,2400,2668,PostNL,conventional,tour-based
75614,2668,2375,PostNL,conventional,tour-based
75626,2371,2668,PostNL,conventional,tour-based
75626,2668,2375,PostNL,conventional,tour-based
75642,2291,2668,PostNL,conventional,tour-based
75642,2668,2375,PostNL,conventional,tour-based
75645,2461,2668,PostNL,conventional,tour-based
75645,2668,2375,PostNL,conventional,tour-based
75670,2431,2668,PostNL,conventional,tour-based
75670,2668,2375,PostNL,conventional,tour-based
75709,2341,3362,UPS,conventional,tour-based
75709,3362,2375,UPS,conventional,tour-based
75717,2390,3362,UPS,conventional,tour-based
75717,3362,2375,UPS,conventional,tour-based
75736,2391,3362,UPS,conventional,tour-based
75736,3362,2375,UPS,conventional,tour-based
75738,2430,3362,UPS,conventional,tour-based
75738,3362,2375,UPS,conventional,tour-based
75820,2469,2668,PostNL,conventional,tour-based
75820,2668,2380,PostNL,conventional,tour-based
75881,2341,2668,PostNL,conventional,tour-based
75881,2668,2384,PostNL,conventional,tour-based
75937,2389,4604,DPD,conventional,tour-based
75937,4604,2385,DPD,conventional,tour-based
75961,2386,2668,PostNL,conventional,tour-based
75961,2668,2385,PostNL,conventional,tour-based
76076,2426,2668,PostNL,conventional,tour-based
76076,2668,2386,PostNL,conventional,tour-based
76158,2346,2662,DHL,conventional,tour-based
76158,2662,2389,DHL,conventional,tour-based
76184,2296,2662,DHL,conventional,tour-based
76184,2662,2389,DHL,conventional,tour-based
76223,2401,2668,PostNL,conventional,tour-based
76223,2668,2389,PostNL,conventional,tour-based
76247,2342,2668,PostNL,conventional,tour-based
76247,2668,2389,PostNL,conventional,tour-based
76320,2452,2662,DHL,conventional,tour-based
76320,2662,2390,DHL,conventional,tour-based
76362,2271,2668,PostNL,conventional,tour-based
76362,2668,2390,PostNL,conventional,tour-based
76385,2468,2668,PostNL,conventional,tour-based
76385,2668,2390,PostNL,conventional,tour-based
76496,2296,2668,PostNL,conventional,tour-based
76496,2668,2392,PostNL,conventional,tour-based
76499,2405,559,Cycloon,conventional,tour-based
76499,559,2393,Cycloon,conventional,tour-based
76503,2431,2662,DHL,conventional,tour-based
76503,2662,2393,DHL,conventional,tour-based
76507,2390,2662,DHL,conventional,tour-based
76507,2662,2393,DHL,conventional,tour-based
76562,2345,2668,PostNL,conventional,tour-based
76562,2668,2393,PostNL,conventional,tour-based
